time(s)	accl(g)
14.036	0.020416351200
14.037	0.021366604800
14.038	0.022316858400
14.039	0.023267112000
14.040	0.024217365600
14.041	0.025024897200
14.042	0.025832428800
14.043	0.026639960400
14.044	0.027447492000
14.045	0.028255023600
14.046	0.029062555200
14.047	0.029567407200
14.048	0.030072259200
14.049	0.030577111200
14.050	0.031081963200
14.051	0.031586815200
14.052	0.032091667200
14.053	0.032184003600
14.054	0.032276340000
14.055	0.032368676400
14.056	0.032461012800
14.057	0.032553349200
14.058	0.032645685600
14.059	0.032308263600
14.060	0.031970841600
14.061	0.031633419600
14.062	0.031295997600
14.063	0.030958575600
14.064	0.030621153600
14.065	0.029926399200
14.066	0.029231644800
14.067	0.028536890400
14.068	0.027842136000
14.069	0.027147381600
14.070	0.026452627200
14.071	0.025528064400
14.072	0.024603501600
14.073	0.023678938800
14.074	0.022754376000
14.075	0.021829813200
14.076	0.020905250400
14.077	0.019888310400
14.078	0.018871370400
14.079	0.017854430400
14.080	0.016837490400
14.081	0.015820550400
14.082	0.014803610400
14.083	0.013803000000
14.084	0.012802389600
14.085	0.011801779200
14.086	0.010801168800
14.087	0.009800558400
14.088	0.008799948000
14.089	0.007875750120
14.090	0.006951552240
14.091	0.006027354360
14.092	0.005103156480
14.093	0.004178958600
14.094	0.003254760720
14.095	0.002432593800
14.096	0.001610426880
14.097	0.000788259960
14.098	-0.000033906960
14.099	-0.000856073880
14.100	-0.001678240800
14.101	-0.002368895400
14.102	-0.003059550000
14.103	-0.003750204600
14.104	-0.004440859200
14.105	-0.005131513800
14.106	-0.005822168400
14.107	-0.006347261400
14.108	-0.006872354400
14.109	-0.007397447400
14.110	-0.007922540400
14.111	-0.008447633400
14.112	-0.008972726400
14.113	-0.009313639200
14.114	-0.009654552000
14.115	-0.009995464800
14.116	-0.010336377600
14.117	-0.010677290400
14.118	-0.011018203200
14.119	-0.011183972400
14.120	-0.011349741600
14.121	-0.011515510800
14.122	-0.011681280000
14.123	-0.011847049200
14.124	-0.012012818400
14.125	-0.012037837200
14.126	-0.012062856000
14.127	-0.012087874800
14.128	-0.012112893600
14.129	-0.012137912400
14.130	-0.012162931200
14.131	-0.012081810000
14.132	-0.012000688800
14.133	-0.011919567600
14.134	-0.011838446400
14.135	-0.011757325200
14.136	-0.011676204000
14.137	-0.011487438000
14.138	-0.011298672000
14.139	-0.011109906000
14.140	-0.010921140000
14.141	-0.010732374000
14.142	-0.010543608000
14.143	-0.010216521600
14.144	-0.009889435200
14.145	-0.009562348800
14.146	-0.009235262400
14.147	-0.008908176000
14.148	-0.008581089600
14.149	-0.008086012200
14.150	-0.007590934800
14.151	-0.007095857400
14.152	-0.006600780000
14.153	-0.006105702600
14.154	-0.005610625200
14.155	-0.004941392520
14.156	-0.004272159840
14.157	-0.003602927160
14.158	-0.002933694480
14.159	-0.002264461800
14.160	-0.001595229120
14.161	-0.000775172760
14.162	0.000044883600
14.163	0.000864939960
14.164	0.001684996320
14.165	0.002505052680
14.166	0.003325109040
14.167	0.004236865800
14.168	0.005148622560
14.169	0.006060379320
14.170	0.006972136080
14.171	0.007883892840
14.172	0.008795649600
14.173	0.009638364000
14.174	0.010481078400
14.175	0.011323792800
14.176	0.012166507200
14.177	0.013009221600
14.178	0.013851936000
14.179	0.014363392800
14.180	0.014874849600
14.181	0.015386306400
14.182	0.015897763200
14.183	0.016409220000
14.184	0.016920676800
14.185	0.016860189600
14.186	0.016799702400
14.187	0.016739215200
14.188	0.016678728000
14.189	0.016618240800
14.190	0.016557753600
14.191	0.015832410000
14.192	0.015107066400
14.193	0.014381722800
14.194	0.013656379200
14.195	0.012931035600
14.196	0.012205692000
14.197	0.010910546520
14.198	0.009615401040
14.199	0.008320255560
14.200	0.007025110080
14.201	0.005729964600
14.202	0.004434819120
14.203	0.002837795400
14.204	0.001240771680
14.205	-0.000356252040
14.206	-0.001953275760
14.207	-0.003550299480
14.208	-0.005147323200
14.209	-0.006644150400
14.210	-0.008140977600
14.211	-0.009637804800
14.212	-0.011134632000
14.213	-0.012631459200
14.214	-0.014128286400
14.215	-0.015133857600
14.216	-0.016139428800
14.217	-0.017145000000
14.218	-0.018150571200
14.219	-0.019156142400
14.220	-0.020161713600
14.221	-0.020439781200
14.222	-0.020717848800
14.223	-0.020995916400
14.224	-0.021273984000
14.225	-0.021552051600
14.226	-0.021830119200
14.227	-0.021356946000
14.228	-0.020883772800
14.229	-0.020410599600
14.230	-0.019937426400
14.231	-0.019464253200
14.232	-0.018991080000
14.233	-0.017923922400
14.234	-0.016856764800
14.235	-0.015789607200
14.236	-0.014722449600
14.237	-0.013655292000
14.238	-0.012588134400
14.239	-0.011181225240
14.240	-0.009774316080
14.241	-0.008367406920
14.242	-0.006960497760
14.243	-0.005553588600
14.244	-0.004146679440
14.245	-0.002689990200
14.246	-0.001233300960
14.247	0.000223388280
14.248	0.001680077520
14.249	0.003136766760
14.250	0.004593456000
14.251	0.005789632800
14.252	0.006985809600
14.253	0.008181986400
14.254	0.009378163200
14.255	0.010574340000
14.256	0.011770516800
14.257	0.012452077200
14.258	0.013133637600
14.259	0.013815198000
14.260	0.014496758400
14.261	0.015178318800
14.262	0.015859879200
14.263	0.015910057200
14.264	0.015960235200
14.265	0.016010413200
14.266	0.016060591200
14.267	0.016110769200
14.268	0.016160947200
14.269	0.015621787200
14.270	0.015082627200
14.271	0.014543467200
14.272	0.014004307200
14.273	0.013465147200
14.274	0.012925987200
14.275	0.011962985520
14.276	0.010999983840
14.277	0.010036982160
14.278	0.009073980480
14.279	0.008110978800
14.280	0.007147977120
14.281	0.005980270044
14.282	0.004812562968
14.283	0.003644855892
14.284	0.002477148816
14.285	0.001309441740
14.286	0.000141734664
14.287	-0.001032796380
14.288	-0.002207327424
14.289	-0.003381858468
14.290	-0.004556389512
14.291	-0.005730920556
14.292	-0.006905451600
14.293	-0.007960571400
14.294	-0.009015691200
14.295	-0.010070811000
14.296	-0.011125930800
14.297	-0.012181050600
14.298	-0.013236170400
14.299	-0.014132035200
14.300	-0.015027900000
14.301	-0.015923764800
14.302	-0.016819629600
14.303	-0.017715494400
14.304	-0.018611359200
14.305	-0.019378083600
14.306	-0.020144808000
14.307	-0.020911532400
14.308	-0.021678256800
14.309	-0.022444981200
14.310	-0.023211705600
14.311	-0.023893452000
14.312	-0.024575198400
14.313	-0.025256944800
14.314	-0.025938691200
14.315	-0.026620437600
14.316	-0.027302184000
14.317	-0.027843554400
14.318	-0.028384924800
14.319	-0.028926295200
14.320	-0.029467665600
14.321	-0.030009036000
