%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


0.565	-18.34133988
0.566	-18.0777761
0.567	-17.81338017
0.568	-17.54824357
0.569	-17.2824579
0.570	-17.01611488
0.571	-16.74930628
0.572	-16.48212393
0.573	-16.21465968
0.574	-15.94700536
0.575	-15.67925275
0.576	-15.41149357
0.577	-15.14381944
0.578	-14.87632184
0.579	-14.60909211
0.580	-14.34222138
0.581	-14.07580056
0.582	-13.80992033
0.583	-13.54467109
0.584	-13.28014292
0.585	-13.01642558
0.586	-12.75360844
0.587	-12.4917805
0.588	-12.23103032
0.589	-11.97144602
0.590	-11.71311523
0.591	-11.45612506
0.592	-11.20056209
0.593	-10.94651232
0.594	-10.69406117
0.595	-10.44329342
0.596	-10.19429319
0.597	-9.947143923
0.598	-9.701928344
0.599	-9.458728443
0.600	-9.217625439
0.601	-8.978699755
0.602	-8.742030989
0.603	-8.507697891
0.604	-8.275778328
0.605	-8.046349265
0.606	-7.819486736
0.607	-7.595265813
0.608	-7.373760587
0.609	-7.155044136
0.610	-6.939188505
0.611	-6.726264674
0.612	-6.516342539
0.613	-6.309490884
0.614	-6.105777357
0.615	-5.905268446
0.616	-5.708029457
0.617	-5.514124486
0.618	-5.323616402
0.619	-5.136566819
0.620	-4.953036075
0.621	-4.773083213
0.622	-4.596765954
0.623	-4.424140682
0.624	-4.255262419
0.625	-4.090184803
0.626	-3.928960073
0.627	-3.771639048
0.628	-3.618271103
0.629	-3.468904159
0.630	-3.323584657
0.631	-3.182357544
0.632	-3.045266254
0.633	-2.912352694
0.634	-2.783657226
0.635	-2.659218649
0.636	-2.539074187
0.637	-2.423259474
0.638	-2.311808538
0.639	-2.204753786
0.640	-2.102125996
0.641	-2.003954298
0.642	-1.910266169
0.643	-1.821087412
0.644	-1.736442155
0.645	-1.656352834
0.646	-1.580840184
0.647	-1.509923231
0.648	-1.443619285
0.649	-1.381943927
0.650	-1.324911006
0.651	-1.272532629
0.652	-1.224819155
0.653	-1.181779194
0.654	-1.143419592
0.655	-1.109745438
0.656	-1.080760051
0.657	-1.056464981
0.658	-1.036860005
0.659	-1.021943127
0.660	-1.011710572
0.661	-1.006156792
0.662	-1.005274459
0.663	-1.009054469
0.664	-1.017485945
0.665	-1.030556232
0.666	-1.048250909
0.667	-1.070553783
0.668	-1.097446898
0.669	-1.128910539
0.670	-1.164923234
0.671	-1.205461763
0.672	-1.250501163
0.673	-1.300014734
0.674	-1.35397405
0.675	-1.412348961
0.676	-1.475107609
0.677	-1.542216433
0.678	-1.613640181
0.679	-1.68934192
0.680	-1.769283048
0.681	-1.853423306
0.682	-1.941720791
0.683	-2.034131969
0.684	-2.130611691
0.685	-2.231113203
0.686	-2.335588167
0.687	-2.443986673
0.688	-2.556257257
0.689	-2.672346919
0.690	-2.792201138
0.691	-2.915763895
0.692	-3.042977687
0.693	-3.173783549
0.694	-3.308121076
0.695	-3.445928441
0.696	-3.587142416
0.697	-3.731698399
0.698	-3.879530428
0.699	-4.030571213
0.700	-4.184752155
0.701	-4.342003368
0.702	-4.50225371
0.703	-4.665430803
0.704	-4.831461062
0.705	-5.00026972
0.706	-5.171780855
0.707	-5.345917416
0.708	-5.522601254
0.709	-5.701753147
0.710	-5.883292833
0.711	-6.067139033
0.712	-6.25320949
0.713	-6.441420987
0.714	-6.63168939
0.715	-6.823929671
0.716	-7.018055943
0.717	-7.213981489
0.718	-7.411618798
0.719	-7.610879597
0.720	-7.81167488
0.721	-8.013914947
0.722	-8.217509434
0.723	-8.422367348
0.724	-8.628397104
0.725	-8.835506556
0.726	-9.043603035
0.727	-9.25259338
0.728	-9.462383981
0.729	-9.672880808
0.730	-9.883989451
0.731	-10.09561516
0.732	-10.30766286
0.733	-10.52003722
0.734	-10.73264269
0.735	-10.94538348
0.736	-11.15816368
0.737	-11.37088724
0.738	-11.58345803
0.739	-11.79577987
0.740	-12.00775658
0.741	-12.219292
0.742	-12.43029004
0.743	-12.64065473
0.744	-12.85029023
0.745	-13.05910087
0.746	-13.26699124
0.747	-13.47386615
0.748	-13.67963073
0.749	-13.88419043
0.750	-14.0874511
0.751	-14.28931898
0.752	-14.48970076
0.753	-14.68850363
0.754	-14.88563531
0.755	-15.08100407
0.756	-15.27451879
0.757	-15.466089
0.758	-15.65562488
0.759	-15.84303735
0.760	-16.02823808
0.761	-16.21113951
0.762	-16.39165493
0.763	-16.56969847
0.764	-16.74518518
0.765	-16.91803101
0.766	-17.08815292
0.767	-17.25546885
0.768	-17.41989778
0.769	-17.58135977
0.770	-17.73977598
0.771	-17.89506874
0.772	-18.04716152
0.773	-18.19597901
0.774	-18.34144716
0.775	-18.48349318
0.776	-18.62204558
0.777	-18.75703423
0.778	-18.88839033
0.779	-19.01604652
0.780	-19.13993685
0.781	-19.25999683
0.782	-19.37616346
0.783	-19.48837525
0.784	-19.59657227
0.785	-19.70069613
0.786	-19.80069008
0.787	-19.89649896
0.788	-19.98806927
0.789	-20.0753492
0.790	-20.15828862
0.791	-20.23683913
0.792	-20.31095406
0.793	-20.38058855
0.794	-20.44569949
0.795	-20.50624559
0.796	-20.5621874
0.797	-20.61348731
0.798	-20.6601096
0.799	-20.70202041
0.800	-20.7391878
0.801	-20.77158176
0.802	-20.7991742
0.803	-20.821939
0.804	-20.83985198
0.805	-20.85289098
0.806	-20.8610358
0.807	-20.86426826
0.808	-20.8625722
0.809	-20.85593348
0.810	-20.84434
0.811	-20.8277817
0.812	-20.80625057
0.813	-20.77974068
0.814	-20.74824814
0.815	-20.71177116
0.816	-20.67030999
0.817	-20.62386699
0.818	-20.57244658
0.819	-20.51605529
0.820	-20.4547017
0.821	-20.38839651
0.822	-20.31715248
0.823	-20.24098446
0.824	-20.15990937
0.825	-20.07394623
0.826	-19.9831161
0.827	-19.88744213
0.828	-19.78694952
0.829	-19.68166552
0.830	-19.57161942
0.831	-19.45684258
0.832	-19.33736833
0.833	-19.21323207
0.834	-19.08447116
0.835	-18.95112498
0.836	-18.81323486
0.837	-18.67084413
0.838	-18.52399804
0.839	-18.37274378
0.840	-18.21713046
0.841	-18.05720907
0.842	-17.89303249
0.843	-17.72465548
0.844	-17.5521346
0.845	-17.37552826
0.846	-17.19489663
0.847	-17.0103017
0.848	-16.82180716
0.849	-16.62947847
0.850	-16.43338274
0.851	-16.23358879
0.852	-16.03016707
